discount,total_orders,revenue_after_discount
168.97,1,1922.95
169.08,1,1409.44
169.67,1,1366.78
169.71,1,1547.92
169.93,1,658.81
170.35,1,201.76000000000002
170.37,1,1092.5100000000002
170.54,1,1549.43
170.68,1,940.23
171.01,1,1539.81
171.29,1,571.6
171.68,1,403.01000000000005
171.73,1,1060.36
171.78,1,279.54999999999995
172.17,1,414.21000000000004
172.36,1,2313.3199999999997
172.39,1,2108.23
172.49,1,1311.1
172.58,1,1206.23
172.76,1,1156.56
172.84,1,1085.63
172.92,1,70.83000000000001
172.97,1,1789.48
174.01,1,246.41000000000003
174.31,1,1526.38
174.57,1,97.18
174.79,1,353.45000000000005
175.03,1,1499.99
175.25,1,612.04
175.61,1,1004.35
175.98,1,74.42000000000002
176.38,1,1888.2399999999998
176.67,1,760.32
176.87,1,1753.75
176.88,1,2073.43
177.93,1,1779.79
178.18,1,1455.03
178.96,1,2142.45
179.08,1,1295.63
179.99,1,1785.07
180.95,1,1113.45
181.21,1,457.27
181.41,1,1173.9399999999998
181.52,1,749.32
182.38,1,1802.9099999999999
182.9,1,1814.8999999999999
183.16,1,2174.4500000000003
183.33,1,1562.48
183.59,1,1770.0400000000002
183.69,1,283.08
183.8,1,398.78000000000003
184.24,1,778.75
184.82,1,2130.94
184.9,1,550.09
185.32,1,1479.53
185.48,1,2200.23
185.75,1,93.94
185.77,1,2038.0900000000001
185.93,1,1755.74
186.08,1,1572.25
186.2,1,1348.52
186.88,1,48.21000000000001
186.97,1,2152.75
187.31,1,2054.12
187.4,1,1454.2099999999998
187.74,1,1879.61
187.86,1,705.52
187.94,1,1079.76
188.17,1,2305.5499999999997
188.49,1,933.03
188.85,1,495.94999999999993
189.56,1,1205.76
190.22,1,1634.1
190.24,1,760.43
190.65,1,436.58000000000004
190.74,1,202.25
190.76,1,1460.65
190.87,1,839.8100000000001
191.26,1,2224.0299999999997
192.1,1,350.26
192.14,1,432.1
192.41,1,1760.1299999999999
193.39,1,576.52
193.77,1,1698.83
194.13,1,2129.0299999999997
194.65,1,1845.12
194.92,1,1496.9099999999999
195.01,1,24.480000000000018
195.46,1,1834.54
195.67,1,1126.4099999999999
195.9,1,725.11
196.1,1,403.75
196.36,1,20.189999999999998
196.73,1,1334.29
197.49,1,1660.82
197.6,1,559.05
197.7,1,1199.6299999999999
197.75,1,1701.87
197.86,1,1302.77
198.11,1,155.06
198.22,1,2227.0600000000004
198.68,1,629.25
199.03,1,1555.34
199.11,1,1109.33
199.44,1,1881.7199999999998
199.55,1,1609.56
200,1,1236.8
200.17,1,1751.6899999999998
200.88,1,397.22
201.01,1,1888.8100000000002
201.26,1,1638.41
201.34,1,1776.0700000000002
201.39,1,820.03
201.4,1,510.47
201.81,1,2071.51
202,1,272.62
202.09,1,350.26
202.65,1,1080.04
203.32,1,1192.5700000000002
203.39,1,437.87
203.42,1,1050.83
203.49,1,1345.32
203.79,1,2262.83
204.17,1,1740.1999999999998
205.02,1,2257.1
205.29,1,36.97
205.32,1,644.8399999999999
205.45,1,1150.24
205.57,1,1826.64
205.65,1,1370.35
205.96,1,2001.25
206.12,1,2138.26
206.21,1,527.81
206.29,1,1745.66
206.47,1,1187.46
206.58,1,458.75
206.71,1,67.03
207.86,1,1922.6
208.1,1,1391.8100000000002
208.43,1,1527.6499999999999
208.68,1,12.680000000000007
208.94,1,1574.59
209.03,1,998.75
209.06,1,1891.63
209.11,1,668.73
209.29,1,1844.9900000000002
209.42,1,1722.22
209.53,2,1361.54
209.83,1,692.8399999999999
210.25,1,1221.75
211.21,1,1122.32
211.39,1,2085.03
211.4,1,890.0100000000001
211.46,1,1295.28
211.65,1,780.37
211.69,1,552.47
212.37,1,262.35
213.04,1,2155.11
213.08,1,193.10999999999999
213.35,1,279.03999999999996
213.49,2,1809.12
213.7,1,133.21000000000004
213.93,2,3257.6099999999997
214.05,1,626.54
214.07,1,560.02
214.69,1,1582.6799999999998
215.34,1,681.9699999999999
216.09,1,-2.5200000000000102
216.3,1,760.45
217.55,1,205.82
217.58,1,790.91
217.86,1,353.21000000000004
218.15,1,507.21000000000004
218.16,1,43.75000000000003
218.47,1,346.3399999999999
218.56,1,1820.47
219.39,1,307.40999999999997
220.1,1,1143.6000000000001
220.2,1,850.0799999999999
220.38,1,529.36
220.48,1,1141.69
220.85,1,1658.19
221.9,1,399.18000000000006
222.43,2,2686.67
222.72,1,1966.4199999999998
223.59,1,1070.88
224.03,1,481.6600000000001
224.35,1,1147.5500000000002
224.78,1,624.87
224.92,1,1572.3999999999999
224.97,1,437.18999999999994
225.67,1,116.1
225.7,1,447.59999999999997
226.45,1,830.1499999999999
226.94,1,925.23
226.95,1,946.1099999999999
227.01,1,1786.68
227.11,1,1171.96
227.46,1,191.04
227.51,1,1324.74
227.52,1,1824.33
227.66,1,1936.64
228.32,1,42.660000000000025
228.4,1,994.4900000000001
228.44,1,1877.0700000000002
228.47,1,1381.27
228.59,1,1600.19
229.19,1,11.449999999999989
229.42,1,36.00000000000003
230.05,1,1187.64
230.13,1,1608.92
230.61,1,300.29999999999995
230.81,1,1774.43
232.04,1,283.36
232.08,1,100.08000000000001
232.1,1,2002.0100000000002
232.12,1,190.68
232.15,1,1122.04
232.24,1,-26.55000000000001
233.86,1,2149.87
234.09,1,367.35
234.22,2,1187.37
234.28,1,1907.03
234.43,1,1068.84
234.51,1,1316.92
234.77,1,1407.77
235.21,1,788.39
235.28,1,753.77
235.61,1,17.839999999999975
236.22,1,835.3
236.24,1,1952.3
236.49,1,1924.0800000000002
236.76,1,616.47
237.19,1,1430.45
237.3,1,1767.43
237.44,1,1575.61
237.74,1,377.11
237.87,1,1626.37
238.3,1,651.0899999999999
238.37,1,322.24
238.57,1,1223.78
238.7,2,3761.4599999999996
239.03,1,1334.08
239.41,1,1062.9099999999999
239.71,1,1124.08
239.81,1,1075.5
240.01,1,410.94000000000005
240.46,1,141.66
240.71,1,172.99999999999997
240.77,1,1574.44
241.63,1,2027.65
242.01,1,239.23000000000002
242.64,1,689.26
242.85,1,509.49
243.69,1,1570.07
243.94,1,35.43000000000001
244.06,1,1761.0900000000001
244.15,1,93.92999999999998
244.26,1,1533.57
244.52,1,1489.4
244.56,1,269.46999999999997
244.57,1,354.83
244.89,1,568.12
245.11,1,163.12
245.39,1,2149.17
245.83,1,987.7499999999999
246.04,1,1952.0900000000001
246.32,1,1503.19
246.41,1,1599.6299999999999
246.49,1,1868.3
246.75,1,1142.86
247.06,1,943.3600000000001
247.1,1,253.54999999999998
247.17,1,1472.6799999999998
248.17,1,516.6800000000001
248.5,1,569.13
249.45,1,1739.86
249.47,1,1108.31
249.67,1,545.32
249.92,1,2157.63
250.61,1,1355.21
250.9,1,1869.46
252.15,1,2098.49
252.85,1,662.3299999999999
252.99,1,1691.43
253.06,1,706.51
253.21,1,407.4
253.3,1,2204.31
253.79,1,1404.24
254.18,1,157.37
254.38,1,1820.9899999999998
254.67,1,1260.1
254.98,1,65.09
255.42,1,1904.7599999999998
255.67,1,1954.85
255.83,1,1686.96
256.98,1,973.6500000000001
257.04,1,454.37999999999994
257.36,1,588.88
257.38,1,1560.2199999999998
257.55,1,519.69
257.83,1,626.24
257.84,1,344.00000000000006
257.89,1,896.4599999999999
258.24,1,245.32
258.58,1,379.67
258.61,1,2003.3899999999999
258.66,1,545.8199999999999
258.87,1,880.39
260.21,1,218.64000000000004
261.73,1,1188.81
261.86,1,1768.0500000000002
262.5,1,1079.06
263.03,1,128.54000000000002
263.5,1,671.77
263.59,1,1842.53
264.04,2,3627.61
264.82,1,207.70999999999998
265.02,1,738.61
265.19,1,368.02000000000004
265.56,1,1053.4
265.64,1,1440.48
265.85,1,471.75
265.9,1,539.5400000000001
265.93,1,1319.8799999999999
267.67,1,648.5
267.85,1,2202.69
268.28,1,1710.38
268.29,1,744.8499999999999
268.3,1,1232.57
268.36,1,687.56
269.15,1,279.78
269.44,1,1188.77
269.48,1,31.379999999999995
269.99,1,503.02
270.06,1,1832.0500000000002
270.42,2,1953.9599999999998
270.48,1,337.59000000000003
270.83,1,110.77000000000004
271.08,1,823.6000000000001
271.52,1,2079.63
271.81,1,794.3900000000001
271.82,1,972.46
272.05,1,1889.3300000000002
272.68,1,1155.02
272.72,1,432.6
272.92,1,2159.3199999999997
272.94,1,820.54
274.13,1,1763.9099999999999
274.21,1,681.24
274.25,1,1483.51
275.1,1,2127.78
275.3,1,49.06999999999999
275.52,1,32.5
276,1,924.8699999999999
276.12,1,610.3
276.36,1,1502.85
276.51,1,1616.04
276.56,1,1717.72
276.92,1,836.05
277.34,1,807.23
277.81,1,1879.29
277.84,1,1683.2900000000002
277.98,1,1729.53
278.24,1,433.29999999999995
278.83,1,-41.379999999999995
279.21,1,1587.1299999999999
279.23,1,1877.08
279.47,1,2104.7799999999997
279.62,1,759.92
280.31,1,-53.53
280.65,1,1556.6599999999999
281.55,1,129.90999999999997
282.38,1,572.94
282.58,1,776.6800000000001
283.07,1,454.23999999999995
283.5,1,2023.1399999999999
284.23,1,998.03
284.34,1,1683.25
284.48,1,1010.9300000000001
284.58,1,1197.3000000000002
284.61,1,2097.6
284.65,1,616.0600000000001
285.65,1,269.07000000000005
286.34,1,1667.93
286.56,1,957.77
286.86,1,567.22
286.88,1,298.13
287.01,1,1759.76
287.13,1,1667.6599999999999
287.23,1,1316.79
287.92,1,914.53
288.1,1,323.51
288.13,1,1978.52
288.16,1,937.8799999999999
288.33,1,1780.75
288.53,1,1472
288.62,1,1107.5500000000002
288.94,1,1499.58
289.08,1,540.19
289.37,1,280.33000000000004
289.74,1,1908.4599999999998
289.95,1,2208.7400000000002
290.37,1,1982.1
290.52,1,1545.14
290.86,1,932.2800000000001
290.91,1,259.03000000000003
291.03,1,1112.15
291.11,1,1761.94
291.26,1,1046.53
292.17,1,1168.11
292.32,1,669.2
292.49,1,792.55
292.76,1,652.98
293.19,1,957.3399999999999
294.06,1,897.5800000000002
294.39,1,1825.52
294.42,1,1285.27
294.63,1,1103.9899999999998
294.66,1,85.25
295.32,1,-80.20999999999998
295.38,1,164.16000000000003
295.88,1,2052.0699999999997
295.93,1,-77.26000000000002
295.98,1,345.4
296.88,1,802.66
296.93,1,1159.6799999999998
297.2,1,501.18
297.46,1,2053.5099999999998
297.54,1,1309.79
297.6,1,22.25
298.23,1,474.80999999999995
298.26,1,1359.16
298.37,1,627.38
298.43,1,1242.52
298.51,1,1109.89
298.67,1,1050.4099999999999
298.8,1,1106.3600000000001
298.92,1,-40.58000000000004
299.24,1,1408.18
299.62,2,1463.1200000000001
299.69,1,450.15000000000003
299.7,1,1739.3
299.78,1,1180.93
