restaurant_id,restaurant_name,total_revenue
261,Curry Kingdom 261,3820.41
278,Curry Kingdom 278,4661.41
287,Curry Kingdom 287,3219.81
38,Curry Kingdom 38,3254.68
58,Curry Kingdom 58,2434
91,Curry Kingdom 91,6016.86
120,Delhi Darbar 120,7763.58
155,Delhi Darbar 155,7374.859999999999
174,Delhi Darbar 174,7169.820000000001
176,Delhi Darbar 176,13877.56
18,Delhi Darbar 18,2543.1099999999997
181,Delhi Darbar 181,4215.27
198,Delhi Darbar 198,4029.9900000000002
24,Delhi Darbar 24,5863.549999999999
254,Delhi Darbar 254,3526.7200000000003
299,Delhi Darbar 299,1864.71
39,Delhi Darbar 39,1233.3200000000002
9,Delhi Darbar 9,3387.91
139,Dragon Wok 139,1830.7199999999998
158,Dragon Wok 158,7537.08
180,Dragon Wok 180,2531.56
184,Dragon Wok 184,6702.09
215,Dragon Wok 215,8108.65
220,Dragon Wok 220,4343.349999999999
242,Dragon Wok 242,7591.4400000000005
28,Dragon Wok 28,3879.29
297,Dragon Wok 297,4564.41
52,Dragon Wok 52,6141.66
7,Dragon Wok 7,1494.43
79,Dragon Wok 79,6104.4400000000005
84,Dragon Wok 84,5886.62
163,Flavours of India 163,2120.49
169,Flavours of India 169,3132.7
186,Flavours of India 186,3398.63
195,Flavours of India 195,4410.94
251,Flavours of India 251,6030.77
35,Flavours of India 35,6658.59
51,Flavours of India 51,3746.7400000000002
61,Flavours of India 61,3576.26
140,Golden Spoon 140,4557.620000000001
149,Golden Spoon 149,1899.37
171,Golden Spoon 171,2138.26
199,Golden Spoon 199,3795.31
203,Golden Spoon 203,5692.39
208,Golden Spoon 208,1245.43
249,Golden Spoon 249,7541.99
255,Golden Spoon 255,4782.22
270,Golden Spoon 270,2633.55
275,Golden Spoon 275,2374.23
293,Golden Spoon 293,6241.83
41,Golden Spoon 41,11065.4
44,Golden Spoon 44,5708.91
67,Golden Spoon 67,5049.710000000001
74,Golden Spoon 74,7271.42
107,Kolkata Kitchen 107,2029.0900000000001
122,Kolkata Kitchen 122,5891.62
204,Kolkata Kitchen 204,2883.38
240,Kolkata Kitchen 240,3650.35
56,Kolkata Kitchen 56,8725.18
70,Kolkata Kitchen 70,3384.87
73,Kolkata Kitchen 73,5650.349999999999
109,Madras Cafe 109,3397.43
14,Madras Cafe 14,2105.1200000000003
141,Madras Cafe 141,2221.07
257,Madras Cafe 257,2874
298,Madras Cafe 298,1295.28
48,Madras Cafe 48,3476.59
6,Madras Cafe 6,1827.22
117,Masala Magic 117,4704.6
162,Masala Magic 162,3466
21,Masala Magic 21,4496.29
238,Masala Magic 238,4949.199999999999
281,Masala Magic 281,2012.0500000000002
37,Masala Magic 37,1842.53
55,Masala Magic 55,7137.17
63,Masala Magic 63,6786.59
69,Masala Magic 69,6266.34
80,Masala Magic 80,3760.65
164,Mughal Mahal 164,6519.98
205,Mughal Mahal 205,4586.87
229,Mughal Mahal 229,3393.46
237,Mughal Mahal 237,7457.34
50,Mughal Mahal 50,2013.0799999999997
59,Mughal Mahal 59,2434.58
135,Mumbai Masala 135,6176.7
146,Mumbai Masala 146,7868.08
15,Mumbai Masala 15,1491.48
226,Mumbai Masala 226,5377.349999999999
244,Mumbai Masala 244,4171.860000000001
252,Mumbai Masala 252,9088.22
83,Mumbai Masala 83,3890.3999999999996
96,Mumbai Masala 96,5772.33
129,Pizza Junction 129,1771.41
148,Pizza Junction 148,4484.77
156,Pizza Junction 156,7956.839999999999
161,Pizza Junction 161,8906.7
20,Pizza Junction 20,3411.5099999999998
207,Pizza Junction 207,4200.31
213,Pizza Junction 213,9479.48
228,Pizza Junction 228,5537.71
256,Pizza Junction 256,3077.58
264,Pizza Junction 264,2424.52
33,Pizza Junction 33,2755.3599999999997
40,Pizza Junction 40,5333.85
62,Pizza Junction 62,1982.68
98,Pizza Junction 98,2588.9800000000005
11,Punjabi Dhaba 11,1506.56
112,Punjabi Dhaba 112,8374.05
136,Punjabi Dhaba 136,6686.82
190,Punjabi Dhaba 190,2962.9799999999996
196,Punjabi Dhaba 196,6271.64
222,Punjabi Dhaba 222,2798.23
233,Punjabi Dhaba 233,6567.24
276,Punjabi Dhaba 276,7791.880000000001
13,Rasoi Ghar 13,3882.1099999999997
150,Rasoi Ghar 150,4845.14
157,Rasoi Ghar 157,3459.53
170,Rasoi Ghar 170,3238.72
188,Rasoi Ghar 188,3982.18
191,Rasoi Ghar 191,3284.28
250,Rasoi Ghar 250,4065.79
263,Rasoi Ghar 263,4130.07
95,Rasoi Ghar 95,4502.08
143,Royal Tandoor 143,5409.79
225,Royal Tandoor 225,3702.71
289,Royal Tandoor 289,2857.7
4,Royal Tandoor 4,4359.09
54,Royal Tandoor 54,5206.84
72,Royal Tandoor 72,1489.4
101,Saffron Delight 101,2558.36
175,Saffron Delight 175,3214.9300000000003
212,Saffron Delight 212,10926.5
277,Saffron Delight 277,3062.05
290,Saffron Delight 290,3921.0699999999997
45,Saffron Delight 45,1854.71
71,Saffron Delight 71,11001.43
123,South Spice 123,2077.0499999999997
145,South Spice 145,5493.93
185,South Spice 185,2695.82
219,South Spice 219,5813.48
227,South Spice 227,1919.07
243,South Spice 243,5328.49
291,South Spice 291,6539.18
3,South Spice 3,5731.049999999999
34,South Spice 34,5793.37
93,South Spice 93,6982.75
121,Spice Villa 121,2757.35
159,Spice Villa 159,4300.6900000000005
166,Spice Villa 166,3753.88
253,Spice Villa 253,8782.96
295,Spice Villa 295,8926.39
127,Tandoori Nights 127,4727.45
130,Tandoori Nights 130,2416.39
247,Tandoori Nights 247,1546.1100000000001
108,Taste of Punjab 108,2115.3
110,Taste of Punjab 110,1825.52
124,Taste of Punjab 124,3449.34
16,Taste of Punjab 16,4522.62
160,Taste of Punjab 160,2134.64
167,Taste of Punjab 167,5153.389999999999
231,Taste of Punjab 231,1491.6200000000001
248,Taste of Punjab 248,4061.2000000000003
266,Taste of Punjab 266,2236.04
267,Taste of Punjab 267,5697.45
274,Taste of Punjab 274,4711.2300000000005
280,Taste of Punjab 280,3497.9300000000003
103,The Curry Leaf 103,7027.01
137,The Curry Leaf 137,3491.6400000000003
142,The Curry Leaf 142,6948.59
154,The Curry Leaf 154,4112.639999999999
192,The Curry Leaf 192,1334.08
193,The Curry Leaf 193,5691.44
202,The Curry Leaf 202,2233.16
230,The Curry Leaf 230,5974.01
27,The Curry Leaf 27,2846.1499999999996
104,The Food Studio 104,6095.200000000001
147,The Food Studio 147,9413.07
43,The Food Studio 43,2182.36
77,The Food Studio 77,5228.25
86,The Food Studio 86,8230.369999999999
90,The Food Studio 90,6476.27
94,The Food Studio 94,4605.59
99,The Food Studio 99,4317.79
119,The Hungry Panda 119,2079.63
125,The Hungry Panda 125,2361.01
132,The Hungry Panda 132,2712.52
268,The Hungry Panda 268,5905.0599999999995
46,The Hungry Panda 46,5077.009999999999
85,The Hungry Panda 85,6110.709999999999
183,Urban Tadka 183,2517.46
259,Urban Tadka 259,6866.200000000001
269,Urban Tadka 269,6514.41
286,Urban Tadka 286,4587.98
288,Urban Tadka 288,12386.44
