customer_id,total_spent,customer_category
286,3374.83,Bronze
283,3365.03,Bronze
135,3347.8399999999997,Bronze
72,3345.26,Bronze
201,3337.5899999999997,Bronze
107,3331.29,Bronze
253,3327.9000000000005,Bronze
164,3323.91,Bronze
211,3307.67,Bronze
37,3295.35,Bronze
223,3292.31,Bronze
174,3284.1200000000003,Bronze
150,3263.6800000000003,Bronze
99,3259.94,Bronze
101,3254.19,Bronze
15,3197.76,Bronze
284,3186.1099999999997,Bronze
240,3173.33,Bronze
178,3148.29,Bronze
47,3134.63,Bronze
105,3101.26,Bronze
257,3068.8399999999997,Bronze
78,3015.46,Bronze
112,3015.3199999999997,Bronze
209,2984.95,Bronze
146,2966.9,Bronze
221,2941.9,Bronze
258,2938.94,Bronze
74,2933.6000000000004,Bronze
79,2895.4399999999996,Bronze
277,2850.8300000000004,Bronze
225,2840.08,Bronze
158,2815.57,Bronze
10,2795.38,Bronze
38,2772.4,Bronze
264,2711.2200000000003,Bronze
9,2655.4,Bronze
288,2630.0099999999998,Bronze
232,2617.3599999999997,Bronze
153,2590.5299999999997,Bronze
134,2580.08,Bronze
91,2552.21,Bronze
92,2444.95,Bronze
252,2361.42,Bronze
115,2342.04,Bronze
226,2337.7999999999997,Bronze
132,2309.07,Bronze
11,2295.67,Bronze
70,2281.07,Bronze
97,2264.34,Bronze
188,2258.1099999999997,Bronze
280,2238.78,Bronze
117,2236.33,Bronze
63,2233.16,Bronze
48,2219.11,Bronze
57,2206.0200000000004,Bronze
166,2202.81,Bronze
126,2183.34,Bronze
65,2175.73,Bronze
121,2172.58,Bronze
64,2166.33,Bronze
60,2146.42,Bronze
111,2120.4,Bronze
5,2108.72,Bronze
110,2053.5899999999997,Bronze
297,2034.28,Bronze
100,2024.3,Bronze
109,2002.6200000000001,Bronze
1,1982.1,Bronze
222,1966.54,Bronze
181,1953.3899999999999,Bronze
248,1950.7800000000002,Bronze
80,1926.13,Bronze
145,1914.95,Bronze
279,1911.6799999999998,Bronze
98,1911.25,Bronze
61,1908.3700000000001,Bronze
259,1886.39,Bronze
289,1859.43,Bronze
41,1847.8300000000002,Bronze
76,1832.0500000000002,Bronze
113,1821.1299999999999,Bronze
33,1800.29,Bronze
32,1717.21,Bronze
22,1705.75,Bronze
131,1683.2900000000002,Bronze
141,1662.1799999999998,Bronze
215,1641.65,Bronze
245,1634.29,Bronze
271,1574.93,Bronze
234,1561.84,Bronze
241,1559.18,Bronze
35,1533.9099999999999,Bronze
17,1533.8,Bronze
7,1519.57,Bronze
84,1491.43,Bronze
93,1450.38,Bronze
159,1440.48,Bronze
151,1390.27,Bronze
200,1375.31,Bronze
238,1372.5900000000001,Bronze
219,1370.0900000000001,Bronze
30,1345.32,Bronze
298,1271.25,Bronze
285,1198.6200000000001,Bronze
122,1002.7800000000001,Bronze
59,982.1999999999999,Bronze
69,964.6,Bronze
161,933.03,Bronze
175,912.46,Bronze
128,865.56,Bronze
66,814.8800000000001,Bronze
230,687.02,Bronze
186,666.45,Bronze
18,662.77,Bronze
272,658.81,Bronze
165,629.25,Bronze
119,628.23,Bronze
14,572.94,Bronze
144,570.6199999999999,Bronze
173,569.13,Bronze
96,533.0500000000001,Bronze
73,528.8,Bronze
143,462.32,Bronze
176,446.43999999999994,Bronze
46,383.49,Bronze
94,353.45000000000005,Bronze
12,259.03000000000003,Bronze
56,149.02999999999997,Bronze
50,116.1,Bronze
90,100.08000000000001,Bronze
